Gads,Pasv_nos,Pasv_ATVK,Ter_ied_vien_nos,Ter_ied_vien_ATVK,Iedz_skaits,Iedz_skaits_0_6,Iedz_skaits_7_14,Iedz_skaits_15_18,Iedz_skaits_19_24,Iedz_skaits_25_49,Iedz_skaits_50_61,Iedz_skaits_62_74,Iedz_skaits_75_un_vec,Siev_skaits,Siev_skaits_0_6,Siev_skaits_7_14,Siev_skaits_15_18,Siev_skaits_19_24,Siev_skaits_25_49,Siev_skaits_50_61,Siev_skaits_62_74,Siev_skaits_75_un_vec,Vir_skaits,Vir_skaits_0_6,Vir_skaits_7_14,Vir_skaits_15_18,Vir_skaits_19_24,Vir_skaits_25_49,Vir_skaits_50_61,Vir_skaits_62_74,Vir_skaits_75_un_vec
2026,"RĪGA","001000","RĪGA","001000",659415,35440,53770,27940,43512,231202,100156,100758,66637,358228,17197,26126,13671,20971,115372,54499,62359,48033,301187,18243,27644,14269,22541,115830,45657,38399,18604
2026,"DAUGAVPILS","002000","DAUGAVPILS","002000",84609,4187,7520,3843,4504,25403,15006,14835,9311,46596,2067,3611,1846,2208,12596,8172,9237,6859,38013,2120,3909,1997,2296,12807,6834,5598,2452
2026,"JELGAVA","003000","JELGAVA","003000",59441,3815,5963,3059,3674,19838,9223,8456,5413,31253,1874,2869,1560,1843,9287,4792,5169,3859,28188,1941,3094,1499,1831,10551,4431,3287,1554
2026,"JŪRMALA","004000","JŪRMALA","004000",60329,2863,4763,2568,3504,19624,10710,10194,6103,32434,1424,2343,1248,1722,9870,5648,5961,4218,27895,1439,2420,1320,1782,9754,5062,4233,1885
2026,"LIEPĀJA","005000","LIEPĀJA","005000",71789,4387,6545,3380,4660,22873,11481,11105,7358,38887,2098,3134,1649,2306,11271,6142,6834,5453,32902,2289,3411,1731,2354,11602,5339,4271,1905
2026,"RĒZEKNE","006000","RĒZEKNE","006000",27742,1390,2397,1267,1637,8371,4740,5067,2873,15370,653,1186,614,785,4123,2658,3174,2177,12372,737,1211,653,852,4248,2082,1893,696
2026,"VENTSPILS","007000","VENTSPILS","007000",34909,1816,2925,1596,1985,10493,6086,6002,4006,18962,885,1433,802,984,5195,3212,3622,2829,15947,931,1492,794,1001,5298,2874,2380,1177
2026,"AIZKRAUKLES NOVADS","020000","AIZKRAUKLE","020200",6972,351,576,258,415,2098,1144,1351,779,3778,166,259,133,187,984,640,865,544,3194,185,317,125,228,1114,504,486,235
2026,"AIZKRAUKLES NOVADS","020000","JAUNJELGAVA","020210",1746,101,150,68,110,513,294,317,193,890,52,72,33,49,228,135,188,133,856,49,78,35,61,285,159,129,60
2026,"AIZKRAUKLES NOVADS","020000","KOKNESE","020220",2490,146,217,89,131,756,425,417,309,1339,74,98,46,68,353,222,255,223,1151,72,119,43,63,403,203,162,86
2026,"AIZKRAUKLES NOVADS","020000","PĻAVIŅAS","020230",2914,150,227,98,174,882,525,566,292,1508,73,102,51,80,378,278,339,207,1406,77,125,47,94,504,247,227,85
2026,"AIZKRAUKLES NOVADS","020000","AIVIEKSTES PAGASTS","020400",556,28,32,21,33,158,122,98,64,267,9,17,14,19,61,55,51,41,289,19,15,7,14,97,67,47,23
2026,"AIZKRAUKLES NOVADS","020000","AIZKRAUKLES PAGASTS","020410",934,50,71,36,64,297,171,161,84,474,28,36,19,33,129,79,91,59,460,22,35,17,31,168,92,70,25
2026,"AIZKRAUKLES NOVADS","020000","BEBRU PAGASTS","020420",1008,56,103,63,69,312,155,163,87,507,24,53,30,31,138,81,91,59,501,32,50,33,38,174,74,72,28
2026,"AIZKRAUKLES NOVADS","020000","DAUDZESES PAGASTS","020430",894,61,79,33,50,275,141,184,71,415,25,34,15,23,109,67,88,54,479,36,45,18,27,166,74,96,17
2026,"AIZKRAUKLES NOVADS","020000","IRŠU PAGASTS","020440",424,18,29,24,37,128,73,77,38,205,9,14,10,21,52,43,32,24,219,9,15,14,16,76,30,45,14
2026,"AIZKRAUKLES NOVADS","020000","JAUNJELGAVAS PAGASTS","020450",75,4,9,4,0,23,12,16,7,32,3,6,0,0,8,5,6,4,43,1,3,4,0,15,7,10,3
2026,"AIZKRAUKLES NOVADS","020000","KLINTAINES PAGASTS","020460",626,30,47,14,28,204,123,107,73,294,11,31,7,12,84,50,54,45,332,19,16,7,16,120,73,53,28
2026,"AIZKRAUKLES NOVADS","020000","KOKNESES PAGASTS","020470",1034,70,109,37,63,313,190,161,91,514,36,55,21,29,131,91,83,68,520,34,54,16,34,182,99,78,23
2026,"AIZKRAUKLES NOVADS","020000","MAZZALVES PAGASTS","020480",907,41,45,28,36,279,192,194,92,436,21,22,16,15,107,98,92,65,471,20,23,12,21,172,94,102,27
2026,"AIZKRAUKLES NOVADS","020000","NERETAS PAGASTS","020490",1295,53,93,53,61,391,251,244,149,652,27,52,27,29,153,119,138,107,643,26,41,26,32,238,132,106,42
2026,"AIZKRAUKLES NOVADS","020000","PILSKALNES PAGASTS","020500",297,10,11,5,10,100,62,75,24,129,4,1,2,6,40,21,41,14,168,6,10,3,4,60,41,34,10
2026,"AIZKRAUKLES NOVADS","020000","SECES PAGASTS","020510",863,49,68,31,58,296,159,141,61,419,26,33,17,28,130,76,71,38,444,23,35,14,30,166,83,70,23
2026,"AIZKRAUKLES NOVADS","020000","SĒRENES PAGASTS","020520",776,48,71,35,41,238,159,137,47,369,20,23,21,23,112,72,63,35,407,28,48,14,18,126,87,74,12
2026,"AIZKRAUKLES NOVADS","020000","SKRĪVERU PAGASTS","020530",3342,184,318,163,167,998,572,563,377,1699,97,139,74,87,450,274,313,265,1643,87,179,89,80,548,298,250,112
2026,"AIZKRAUKLES NOVADS","020000","STABURAGA PAGASTS","020540",341,20,20,11,12,109,61,71,37,164,10,13,4,3,48,23,37,26,177,10,7,7,9,61,38,34,11
2026,"AIZKRAUKLES NOVADS","020000","SUNĀKSTES PAGASTS","020550",371,15,11,15,23,105,86,71,45,173,7,4,4,10,40,38,35,35,198,8,7,11,13,65,48,36,10
2026,"AIZKRAUKLES NOVADS","020000","VIETALVAS PAGASTS","020560",661,36,61,26,36,198,109,137,58,323,18,34,10,19,76,48,74,44,338,18,27,16,17,122,61,63,14
2026,"AIZKRAUKLES NOVADS","020000","ZALVES PAGASTS","020570",498,15,36,14,18,168,101,106,40,244,8,17,8,9,60,55,56,31,254,7,19,6,9,108,46,50,9
2026,"ALŪKSNES NOVADS","021000","ALŪKSNE","021200",6546,310,514,277,349,1972,1166,1177,781,3513,144,252,136,163,928,620,712,558,3033,166,262,141,186,1044,546,465,223
2026,"ALŪKSNES NOVADS","021000","ALSVIĶU PAGASTS","021400",1186,64,87,42,61,372,244,202,114,576,39,45,19,30,149,110,104,80,610,25,42,23,31,223,134,98,34
2026,"ALŪKSNES NOVADS","021000","ANNAS PAGASTS","021410",392,24,42,18,18,135,54,68,33,200,12,23,7,10,64,23,35,26,192,12,19,11,8,71,31,33,7
2026,"ALŪKSNES NOVADS","021000","ILZENES PAGASTS","021420",263,4,12,12,16,72,67,55,25,118,2,3,6,6,25,33,27,16,145,2,9,6,10,47,34,28,9
2026,"ALŪKSNES NOVADS","021000","JAUNALŪKSNES PAGASTS","021430",932,43,82,35,54,281,194,160,83,438,21,30,14,27,121,86,83,56,494,22,52,21,27,160,108,77,27
2026,"ALŪKSNES NOVADS","021000","JAUNANNAS PAGASTS","021440",421,22,37,16,13,133,92,69,39,221,14,12,7,9,62,46,39,32,200,8,25,9,4,71,46,30,7
2026,"ALŪKSNES NOVADS","021000","JAUNLAICENES PAGASTS","021450",389,24,34,18,26,119,88,54,26,194,13,16,10,10,52,44,28,21,195,11,18,8,16,67,44,26,5
2026,"ALŪKSNES NOVADS","021000","KALNCEMPJU PAGASTS","021460",162,10,12,6,7,43,37,31,16,87,4,6,5,5,18,18,17,14,75,6,6,1,2,25,19,14,2
